adv_policy_vf,pro_policy_vf,test reward
23.952438,24.117805,-84.0
38.976517,38.124035,-83.2
21.41923,22.454353,-82.62
26.000246,26.12888,-84.44
23.380318,24.23552,-82.88
32.057674,32.843754,-84.64
40.025978,36.27204,-82.84
25.592615,25.99913,-85.46
26.85306,26.873888,-85.34
30.03008,30.085745,-86.06
20.958351,21.082485,-84.28
21.251963,22.166588,-85.68
18.97873,19.59633,-85.9
26.137558,25.364191,-83.78
22.0972,21.984322,-86.66
32.647877,31.378323,-84.94
23.498106,24.219687,-82.2
36.356297,35.3563,-84.7
30.905876,29.710297,-85.48
32.582,30.872177,-83.6
36.843174,36.27763,-84.6
20.613045,20.319628,-85.16
31.491884,31.155258,-83.8
28.391472,28.332941,-84.88
38.61903,37.51531,-84.66
34.466537,33.943882,-86.04
26.851864,26.6557,-83.74
25.12832,25.139956,-84.5
32.38995,30.468859,-85.16
24.893183,23.5695,-84.02
25.59789,25.09332,-85.74
23.941095,23.999783,-83.76
22.307373,22.945948,-82.68
21.455496,21.705055,-82.8
37.402744,37.954685,-85.0
29.884565,30.165428,-84.26
24.43698,25.021637,-84.28
25.532469,25.814396,-84.88
21.799831,22.22827,-84.24
29.804909,29.694185,-83.6
35.222424,35.33012,-84.26
37.094448,36.772373,-85.16
37.25142,37.571724,-84.62
36.396355,36.63022,-84.92
29.879816,29.191938,-85.2
24.806126,25.106058,-88.16
26.382238,26.407644,-82.7
26.38539,26.475668,-86.84
27.797546,26.619106,-84.8
36.569187,36.700222,-84.8
28.17803,28.388508,-84.4
24.82367,25.242739,-88.44
24.231354,23.363499,-84.8
25.009562,24.898024,-83.38
25.733664,25.70736,-83.36
30.002647,30.014431,-84.42
23.56429,24.837608,-83.8
37.22953,37.971798,-86.6
42.5078,42.366535,-83.42
34.782555,34.865997,-83.46
38.990017,39.202156,-81.8
33.194912,33.17635,-84.62
32.32009,32.496967,-83.38
27.377987,27.369953,-82.8
28.58329,28.926395,-83.7
38.49691,38.652412,-83.78
34.414055,34.62122,-82.8
31.362421,31.06042,-83.3
33.735863,33.875008,-83.26
29.521912,29.648584,-85.46
34.891182,33.364532,-83.6
27.083807,26.93354,-85.2
29.726788,29.190971,-82.52
35.5531,36.154465,-84.0
25.274897,25.0999,-81.04
30.82432,30.919521,-82.8
28.12834,28.32317,-84.62
30.95711,30.893602,-81.4
31.765972,31.914967,-83.36
28.010609,28.584402,-83.42
30.059683,29.797441,-83.6
17.832382,17.576984,-83.86
29.260708,29.050327,-83.2
24.632265,25.318226,-83.3
25.369844,25.043657,-82.8
27.98371,28.029957,-85.2
25.643476,25.575903,-82.84
23.807518,23.872915,-82.54
22.898474,22.32174,-83.38
22.725176,22.24572,-82.2
31.695858,31.968977,-82.5
27.772701,27.794996,-81.48
26.100744,26.223537,-83.08
25.337599,23.621017,-80.64
25.956064,26.254122,-82.2
24.458847,24.17312,-87.1
27.730928,27.961246,-83.62
37.1859,37.530907,-83.62
28.839703,28.71023,-83.8
27.311296,27.904463,-82.84
20.784506,20.747192,-82.8
27.154768,26.797386,-84.62
24.64963,24.72013,-82.18
33.63943,33.681004,-85.6
23.46728,23.617294,-83.28
22.111383,22.595406,-81.68
27.026276,27.016775,-84.52
24.32017,24.671148,-81.12
26.06996,26.269772,-84.56
25.956404,24.488916,-82.8
21.43789,21.271347,-84.26
21.731928,22.393042,-83.54
27.476696,27.261055,-82.0
22.591602,20.621094,-82.78
30.024553,30.021194,-85.24
27.118364,25.093067,-84.1
34.128666,34.900177,-84.1
28.734638,26.67191,-83.92
39.81667,39.84086,-83.2
28.027697,27.22226,-82.4
22.925594,22.964994,-82.4
22.308157,21.852999,-81.22
31.321217,27.38586,-81.4
20.29506,19.702215,-83.48
20.020235,20.022724,-84.46
27.3465,25.597816,-83.68
25.44952,24.05671,-85.08
22.316097,21.729431,-85.0
19.922352,19.46344,-86.6
19.991133,19.923243,-83.2
19.165787,19.258667,-84.74
22.74012,22.745312,-83.54
23.800842,24.073853,-82.0
17.929144,17.584558,-82.4
20.771978,19.915083,-85.62
26.30972,25.439972,-81.2
24.586172,24.643908,-80.4
19.972923,20.016861,-83.92
19.735077,20.048328,-83.3
29.741236,30.588932,-82.8
22.495632,22.098476,-84.52
17.139395,17.376516,-82.22
26.099798,26.420004,-83.86
29.46363,29.02346,-86.22
20.999945,20.735678,-82.4
24.238111,23.98829,-81.48
24.748547,24.195179,-82.8
29.262506,29.996723,-82.8
29.143648,28.404867,-85.32
23.616161,22.652771,-82.38
23.192257,22.661587,-82.8
21.946215,21.770887,-81.6
27.501875,26.900227,-81.8
21.592245,20.150421,-82.4
24.402792,22.624504,-83.0
26.357975,26.266485,-84.48
26.385128,25.421871,-83.0
27.886295,26.86528,-84.9
20.412037,20.11558,-81.54
19.391972,19.08644,-84.08
20.295671,19.878473,-83.6
28.24959,27.00121,-80.94
21.18729,19.682184,-84.0
19.325054,19.04226,-84.7
19.895359,20.199232,-80.8
32.51358,30.711163,-84.58
21.392633,20.831299,-83.4
26.160152,25.721167,-83.46
22.466215,22.252048,-82.98
32.399136,31.336239,-81.42
28.682722,26.633177,-82.04
26.245749,26.392464,-84.0
30.01538,30.04177,-83.1
28.447739,28.163313,-83.26
26.881771,26.975906,-81.12
21.97328,17.546576,-82.36
27.511467,27.718193,-81.34
24.647875,23.849676,-82.24
28.554985,28.41375,-84.0
24.490746,22.991602,-84.14
23.530834,22.323086,-81.96
19.869595,19.75523,-82.46
23.714151,20.923107,-81.48
21.618944,19.075222,-82.5
28.414516,28.111479,-82.96
18.84265,18.401552,-82.4
33.40193,31.379921,-83.3
35.809902,34.823566,-83.78
24.068361,23.6117,-82.7
26.411627,26.154442,-85.14
24.44105,23.427908,-81.6
20.98986,20.064545,-82.52
23.00112,22.759241,-82.36
23.935738,23.013723,-83.36
28.053474,28.070969,-82.0
25.352716,24.939121,-84.34
18.182316,17.699497,-81.44
22.185328,22.181654,-81.32
25.276772,25.0028,-81.6
23.288559,22.92544,-84.34
27.468618,26.863567,-83.08
24.706621,22.694914,-84.0
19.952671,20.063046,-82.72
23.506235,23.077505,-83.48
26.08927,26.08081,-83.74
24.126429,23.433907,-83.2
27.736633,27.965515,-80.84
25.975037,24.789986,-83.52
24.522139,23.242065,-81.3
29.679245,29.063965,-82.42
21.977943,21.890411,-81.92
34.312084,32.657677,-80.32
31.601994,31.432356,-83.12
32.28042,32.55394,-82.8
26.348623,25.869345,-83.92
23.498396,23.48344,-82.58
23.919762,23.698948,-81.6
18.933931,18.789942,-82.6
29.49525,29.46741,-83.5
24.429668,24.523436,-85.9
29.64953,29.695213,-82.72
24.575598,24.013496,-84.8
24.606342,24.599892,-83.62
29.985823,28.814243,-82.2
