adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
38.083977,55.36,23.831448759665147,40.593678,29.04
8.419246,57.09,29.05794353433777,8.808365,26.68
7.2793484,57.77,31.750199513642166,7.1552744,30.44
7.5306225,58.75,30.95305909524866,6.7852106,27.94
7.190174,58.69,29.46398830321204,7.318089,24.66
9.271234,58.45,29.215075194326186,8.102448,13.2
10.106238,57.57,31.408929482398438,10.944124,26.08
10.123858,57.38,33.03248167690518,7.7872796,25.9
9.674846,56.26,33.93029189797765,8.064273,29.2
4.2601194,56.69,35.14998980751694,4.4223337,30.62
7.1639323,56.01,36.01047139830857,6.8480344,28.62
9.9199295,55.56,38.37040662298123,12.064308,35.34
11.088383,54.49,36.519996434291485,12.595303,25.94
6.925661,55.16,36.58842682200878,5.9170156,24.48
37.95354,55.82,33.43985232087268,47.178337,31.46
55.57393,54.43,33.34841194769743,59.327793,30.54
24.109846,54.05,32.92908058391061,28.285543,24.72
51.521484,53.41,33.613914103258786,60.040546,26.98
29.105888,52.89,30.828110110896965,25.75642,33.54
33.819813,52.41,29.595254111171208,37.694527,19.86
63.715786,52.28,25.086837778918706,68.03834,31.32
70.238625,53.54,20.9242090620801,77.13198,29.06
35.653778,54.63,24.401741517694603,35.567474,26.86
17.904781,54.57,32.921754880380135,11.405652,30.08
32.944324,53.77,33.62387453252686,36.02851,33.88
9.32445,53.75,30.970725385636744,10.484837,23.96
40.188843,54.18,28.665866456391658,47.595627,28.98
13.967199,54.47,30.770634227639565,9.873544,25.16
6.335997,55.63,33.78706965301276,5.6429753,20.68
7.471701,55.15,37.71578588373267,7.1179867,32.08
31.85,54.38,36.50034070602682,34.780857,33.96
72.6902,53.41,32.91031346643094,80.004234,24.52
49.675724,53.29,32.14930493495251,46.68268,20.32
94.24592,53.5,29.851284420796297,93.76696,31.42
22.44367,54.43,29.712813929697095,20.225672,30.38
39.357903,55.46,31.06238297420384,39.016563,18.64
12.384232,57.33,31.57789659562401,12.61706,25.4
22.764387,58.54,30.688148440937194,21.61284,27.16
65.42929,56.07,24.765876534476135,73.84719,26.46
50.705856,54.66,25.820118928411084,69.54762,24.14
76.13562,53.43,28.075401592213296,80.593094,27.08
7.025579,54.97,33.6643248741304,6.662615,21.58
23.66746,56.52,29.336972555657503,18.48988,20.92
15.63983,58.78,29.414832259271588,16.132034,31.1
7.3811736,58.9,29.583250870517887,7.6043143,26.54
28.255743,57.95,33.39349783584834,28.818869,29.94
35.3476,57.7,33.06647470513397,31.540241,30.4
61.94574,57.14,32.53389908979465,62.05438,25.48
9.9408045,57.07,34.40648193252392,9.335149,30.36
30.643223,57.06,33.21187801053744,35.169346,25.06
7.8027716,57.73,35.15522621345121,6.464893,29.82
21.98621,59.13,34.32371143095878,29.427958,27.96
19.2927,58.18,36.220615225389025,27.33534,29.72
42.497913,57.6,33.64131650546456,47.29272,23.98
31.447178,57.73,33.45049895272406,34.844917,25.36
6.795629,59.91,34.517108878966,5.6045694,30.26
5.1629133,59.38,36.591329931902536,5.052841,29.4
3.6106758,59.28,38.00905180862379,3.8467102,26.94
14.143529,58.4,37.64806599232982,17.531195,29.46
4.6295214,59.39,36.92073958318868,4.9283466,30.28
4.2415886,59.78,36.18439137501673,4.628767,26.14
6.617274,57.84,37.685644598790034,7.4230824,26.26
13.534918,58.24,35.83668397869272,13.675232,28.98
5.34142,56.84,37.20222396463769,4.915227,29.28
5.0788426,57.43,38.35584798627903,4.8394446,28.5
4.8797164,56.33,38.814891483467186,4.907187,29.06
23.299015,55.97,37.88685606132527,20.843292,30.72
31.688526,56.37,33.05971313308998,29.40456,33.8
5.944807,55.76,36.707782676745445,5.4707747,33.06
4.343544,56.21,35.97575885588842,4.4685054,29.4
62.10999,55.75,35.113526742584384,58.31028,33.26
49.113052,56.3,29.461961267201904,46.63268,26.86
29.625904,54.56,30.60807547662478,35.738518,33.6
8.740968,55.87,35.34840314814083,6.9882436,28.92
22.339941,57.27,35.329578398091684,20.484436,23.4
11.799887,58.04,37.87182662462993,8.098346,29.42
